"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",5,0.00242954324586978,"breast"
"2","bone",104,0.0505344995140913,"breast"
"3","brain",296,0.143828960155491,"breast"
"4","breast",150,0.0728862973760933,"breast"
"5","caudaequina",2,0.000971817298347911,"breast"
"6","chest_wall",2,0.000971817298347911,"breast"
"11","liver",233,0.113216715257532,"breast"
"12","lung",114,0.0553935860058309,"breast"
"13","lymph_node",719,0.349368318756074,"breast"
"17","other",235,0.114188532555879,"breast"
"18","ovary",5,0.00242954324586978,"breast"
"27","skin",189,0.0918367346938776,"breast"
"30","spinal_cord",2,0.000971817298347911,"breast"
"31","spleen",2,0.000971817298347911,"breast"
