"","Matastatic_Site","Freq","Weight"
"1","adrenal_gland",0,0
"2","bone",0,0
"3","brain",2,0.00140252454417952
"4","breast",0,0
"5","caudaequina",0,0
"6","chest_wall",0,0
"7","colorectum",3,0.00210378681626928
"8","fat",0,0
"9","head_&_neck",0,0
"10","kidney",0,0
"11","liver",1001,0.701963534361851
"12","lung",100,0.0701262272089762
"13","lymph_node",295,0.20687237026648
"14","muscle",0,0
"15","non-regional_/_distant_lymph_nodes",0,0
"16","omentum",0,0
"17","other",0,0
"18","ovary",1,0.000701262272089762
"19","pancreas",0,0
"20","pelvis",0,0
"21","peritoneal_surfaces",0,0
"22","peritoneum",24,0.0168302945301543
"23","pleura",0,0
"24","pleura/pleural_effusion",0,0
"25","posterior_peritoneum",0,0
"26","skeleton",0,0
"27","skin",0,0
"28","small_intestine",0,0
"29","soft_tissue",0,0
"30","spinal_cord",0,0
"31","spleen",0,0
"32","subcutaneous",0,0
"33","subcutanious_soft_tissue",0,0
"34","viscera",0,0
