"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"FOM"
"2","bone",0,0,"FOM"
"3","brain",0,0,"FOM"
"4","breast",0,0,"FOM"
"5","caudaequina",0,0,"FOM"
"6","chest_wall",0,0,"FOM"
"7","colorectum",0,0,"FOM"
"8","fat",0,0,"FOM"
"9","head_&_neck",0,0,"FOM"
"10","kidney",0,0,"FOM"
"11","liver",0,0,"FOM"
"12","lung",0,0,"FOM"
"13","lymph_node",8,1,"FOM"
"14","muscle",0,0,"FOM"
"15","non-regional_/_distant_lymph_nodes",0,0,"FOM"
"16","omentum",0,0,"FOM"
"17","other",0,0,"FOM"
"18","ovary",0,0,"FOM"
"19","pancreas",0,0,"FOM"
"20","pelvis",0,0,"FOM"
"21","peritoneal_surfaces",0,0,"FOM"
"22","peritoneum",0,0,"FOM"
"23","pleura",0,0,"FOM"
"24","pleura/pleural_effusion",0,0,"FOM"
"25","posterior_peritoneum",0,0,"FOM"
"26","skeleton",0,0,"FOM"
"27","skin",0,0,"FOM"
"28","small_intestine",0,0,"FOM"
"29","soft_tissue",0,0,"FOM"
"30","spinal_cord",0,0,"FOM"
"31","spleen",0,0,"FOM"
"32","subcutaneous",0,0,"FOM"
"33","subcutanious_soft_tissue",0,0,"FOM"
"34","viscera",0,0,"FOM"
