"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"lung"
"2","bone",0,0,"lung"
"3","brain",6,0.428571428571429,"lung"
"4","breast",0,0,"lung"
"5","caudaequina",0,0,"lung"
"6","chest_wall",0,0,"lung"
"7","colorectum",0,0,"lung"
"8","fat",0,0,"lung"
"9","head_&_neck",0,0,"lung"
"10","kidney",0,0,"lung"
"11","liver",0,0,"lung"
"12","lung",0,0,"lung"
"13","lymph_node",8,0.571428571428571,"lung"
"14","muscle",0,0,"lung"
"15","non-regional_/_distant_lymph_nodes",0,0,"lung"
"16","omentum",0,0,"lung"
"17","other",0,0,"lung"
"18","ovary",0,0,"lung"
"19","pancreas",0,0,"lung"
"20","pelvis",0,0,"lung"
"21","peritoneal_surfaces",0,0,"lung"
"22","peritoneum",0,0,"lung"
"23","pleura",0,0,"lung"
"24","pleura/pleural_effusion",0,0,"lung"
"25","posterior_peritoneum",0,0,"lung"
"26","skeleton",0,0,"lung"
"27","skin",0,0,"lung"
"28","small_intestine",0,0,"lung"
"29","soft_tissue",0,0,"lung"
"30","spinal_cord",0,0,"lung"
"31","spleen",0,0,"lung"
"32","subcutaneous",0,0,"lung"
"33","subcutanious_soft_tissue",0,0,"lung"
"34","viscera",0,0,"lung"
