"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"adrenal_gland"
"2","bone",4,0.108108108108108,"adrenal_gland"
"3","brain",0,0,"adrenal_gland"
"4","breast",0,0,"adrenal_gland"
"5","caudaequina",0,0,"adrenal_gland"
"6","chest_wall",0,0,"adrenal_gland"
"7","colorectum",0,0,"adrenal_gland"
"8","fat",0,0,"adrenal_gland"
"9","head_&_neck",0,0,"adrenal_gland"
"10","kidney",0,0,"adrenal_gland"
"11","liver",8,0.216216216216216,"adrenal_gland"
"12","lung",22,0.594594594594595,"adrenal_gland"
"13","lymph_node",0,0,"adrenal_gland"
"14","muscle",0,0,"adrenal_gland"
"15","non-regional_/_distant_lymph_nodes",0,0,"adrenal_gland"
"16","omentum",0,0,"adrenal_gland"
"17","other",1,0.027027027027027,"adrenal_gland"
"18","ovary",0,0,"adrenal_gland"
"19","pancreas",0,0,"adrenal_gland"
"20","pelvis",0,0,"adrenal_gland"
"21","peritoneal_surfaces",1,0.027027027027027,"adrenal_gland"
"22","peritoneum",0,0,"adrenal_gland"
"23","pleura",0,0,"adrenal_gland"
"24","pleura/pleural_effusion",0,0,"adrenal_gland"
"25","posterior_peritoneum",0,0,"adrenal_gland"
"26","skeleton",0,0,"adrenal_gland"
"27","skin",0,0,"adrenal_gland"
"28","small_intestine",0,0,"adrenal_gland"
"29","soft_tissue",1,0.027027027027027,"adrenal_gland"
"30","spinal_cord",0,0,"adrenal_gland"
"31","spleen",0,0,"adrenal_gland"
"32","subcutaneous",0,0,"adrenal_gland"
"33","subcutanious_soft_tissue",0,0,"adrenal_gland"
"34","viscera",0,0,"adrenal_gland"
