"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"bladder"
"2","bone",54,0.388489208633094,"bladder"
"3","brain",0,0,"bladder"
"4","breast",0,0,"bladder"
"5","caudaequina",0,0,"bladder"
"6","chest_wall",0,0,"bladder"
"7","colorectum",0,0,"bladder"
"8","fat",0,0,"bladder"
"9","head_&_neck",0,0,"bladder"
"10","kidney",0,0,"bladder"
"11","liver",24,0.172661870503597,"bladder"
"12","lung",60,0.431654676258993,"bladder"
"13","lymph_node",1,0.00719424460431655,"bladder"
"14","muscle",0,0,"bladder"
"15","non-regional_/_distant_lymph_nodes",0,0,"bladder"
"16","omentum",0,0,"bladder"
"17","other",0,0,"bladder"
"18","ovary",0,0,"bladder"
"19","pancreas",0,0,"bladder"
"20","pelvis",0,0,"bladder"
"21","peritoneal_surfaces",0,0,"bladder"
"22","peritoneum",0,0,"bladder"
"23","pleura",0,0,"bladder"
"24","pleura/pleural_effusion",0,0,"bladder"
"25","posterior_peritoneum",0,0,"bladder"
"26","skeleton",0,0,"bladder"
"27","skin",0,0,"bladder"
"28","small_intestine",0,0,"bladder"
"29","soft_tissue",0,0,"bladder"
"30","spinal_cord",0,0,"bladder"
"31","spleen",0,0,"bladder"
"32","subcutaneous",0,0,"bladder"
"33","subcutanious_soft_tissue",0,0,"bladder"
"34","viscera",0,0,"bladder"
