"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"cervix"
"2","bone",0,0,"cervix"
"3","brain",0,0,"cervix"
"4","breast",0,0,"cervix"
"5","caudaequina",0,0,"cervix"
"6","chest_wall",0,0,"cervix"
"7","colorectum",0,0,"cervix"
"8","fat",0,0,"cervix"
"9","head_&_neck",6,0.130434782608696,"cervix"
"10","kidney",0,0,"cervix"
"11","liver",0,0,"cervix"
"12","lung",6,0.130434782608696,"cervix"
"13","lymph_node",19,0.41304347826087,"cervix"
"14","muscle",0,0,"cervix"
"15","non-regional_/_distant_lymph_nodes",0,0,"cervix"
"16","omentum",0,0,"cervix"
"17","other",15,0.326086956521739,"cervix"
"18","ovary",0,0,"cervix"
"19","pancreas",0,0,"cervix"
"20","pelvis",0,0,"cervix"
"21","peritoneal_surfaces",0,0,"cervix"
"22","peritoneum",0,0,"cervix"
"23","pleura",0,0,"cervix"
"24","pleura/pleural_effusion",0,0,"cervix"
"25","posterior_peritoneum",0,0,"cervix"
"26","skeleton",0,0,"cervix"
"27","skin",0,0,"cervix"
"28","small_intestine",0,0,"cervix"
"29","soft_tissue",0,0,"cervix"
"30","spinal_cord",0,0,"cervix"
"31","spleen",0,0,"cervix"
"32","subcutaneous",0,0,"cervix"
"33","subcutanious_soft_tissue",0,0,"cervix"
"34","viscera",0,0,"cervix"
