"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"costa"
"2","bone",0,0,"costa"
"3","brain",0,0,"costa"
"4","breast",0,0,"costa"
"5","caudaequina",0,0,"costa"
"6","chest_wall",0,0,"costa"
"7","colorectum",0,0,"costa"
"8","fat",0,0,"costa"
"9","head_&_neck",0,0,"costa"
"10","kidney",0,0,"costa"
"11","liver",0,0,"costa"
"12","lung",2,1,"costa"
"13","lymph_node",0,0,"costa"
"14","muscle",0,0,"costa"
"15","non-regional_/_distant_lymph_nodes",0,0,"costa"
"16","omentum",0,0,"costa"
"17","other",0,0,"costa"
"18","ovary",0,0,"costa"
"19","pancreas",0,0,"costa"
"20","pelvis",0,0,"costa"
"21","peritoneal_surfaces",0,0,"costa"
"22","peritoneum",0,0,"costa"
"23","pleura",0,0,"costa"
"24","pleura/pleural_effusion",0,0,"costa"
"25","posterior_peritoneum",0,0,"costa"
"26","skeleton",0,0,"costa"
"27","skin",0,0,"costa"
"28","small_intestine",0,0,"costa"
"29","soft_tissue",0,0,"costa"
"30","spinal_cord",0,0,"costa"
"31","spleen",0,0,"costa"
"32","subcutaneous",0,0,"costa"
"33","subcutanious_soft_tissue",0,0,"costa"
"34","viscera",0,0,"costa"
