"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"esophagus"
"2","bone",1,0.0104166666666667,"esophagus"
"3","brain",10,0.104166666666667,"esophagus"
"4","breast",0,0,"esophagus"
"5","caudaequina",0,0,"esophagus"
"6","chest_wall",0,0,"esophagus"
"7","colorectum",0,0,"esophagus"
"8","fat",0,0,"esophagus"
"9","head_&_neck",0,0,"esophagus"
"10","kidney",0,0,"esophagus"
"11","liver",45,0.46875,"esophagus"
"12","lung",15,0.15625,"esophagus"
"13","lymph_node",0,0,"esophagus"
"14","muscle",0,0,"esophagus"
"15","non-regional_/_distant_lymph_nodes",0,0,"esophagus"
"16","omentum",0,0,"esophagus"
"17","other",25,0.260416666666667,"esophagus"
"18","ovary",0,0,"esophagus"
"19","pancreas",0,0,"esophagus"
"20","pelvis",0,0,"esophagus"
"21","peritoneal_surfaces",0,0,"esophagus"
"22","peritoneum",0,0,"esophagus"
"23","pleura",0,0,"esophagus"
"24","pleura/pleural_effusion",0,0,"esophagus"
"25","posterior_peritoneum",0,0,"esophagus"
"26","skeleton",0,0,"esophagus"
"27","skin",0,0,"esophagus"
"28","small_intestine",0,0,"esophagus"
"29","soft_tissue",0,0,"esophagus"
"30","spinal_cord",0,0,"esophagus"
"31","spleen",0,0,"esophagus"
"32","subcutaneous",0,0,"esophagus"
"33","subcutanious_soft_tissue",0,0,"esophagus"
"34","viscera",0,0,"esophagus"
