"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"femur"
"2","bone",0,0,"femur"
"3","brain",0,0,"femur"
"4","breast",0,0,"femur"
"5","caudaequina",0,0,"femur"
"6","chest_wall",0,0,"femur"
"7","colorectum",0,0,"femur"
"8","fat",0,0,"femur"
"9","head_&_neck",0,0,"femur"
"10","kidney",0,0,"femur"
"11","liver",0,0,"femur"
"12","lung",16,1,"femur"
"13","lymph_node",0,0,"femur"
"14","muscle",0,0,"femur"
"15","non-regional_/_distant_lymph_nodes",0,0,"femur"
"16","omentum",0,0,"femur"
"17","other",0,0,"femur"
"18","ovary",0,0,"femur"
"19","pancreas",0,0,"femur"
"20","pelvis",0,0,"femur"
"21","peritoneal_surfaces",0,0,"femur"
"22","peritoneum",0,0,"femur"
"23","pleura",0,0,"femur"
"24","pleura/pleural_effusion",0,0,"femur"
"25","posterior_peritoneum",0,0,"femur"
"26","skeleton",0,0,"femur"
"27","skin",0,0,"femur"
"28","small_intestine",0,0,"femur"
"29","soft_tissue",0,0,"femur"
"30","spinal_cord",0,0,"femur"
"31","spleen",0,0,"femur"
"32","subcutaneous",0,0,"femur"
"33","subcutanious_soft_tissue",0,0,"femur"
"34","viscera",0,0,"femur"
