"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"fibula"
"2","bone",0,0,"fibula"
"3","brain",0,0,"fibula"
"4","breast",0,0,"fibula"
"5","caudaequina",0,0,"fibula"
"6","chest_wall",0,0,"fibula"
"7","colorectum",0,0,"fibula"
"8","fat",0,0,"fibula"
"9","head_&_neck",0,0,"fibula"
"10","kidney",0,0,"fibula"
"11","liver",0,0,"fibula"
"12","lung",2,0.666666666666667,"fibula"
"13","lymph_node",0,0,"fibula"
"14","muscle",0,0,"fibula"
"15","non-regional_/_distant_lymph_nodes",0,0,"fibula"
"16","omentum",0,0,"fibula"
"17","other",0,0,"fibula"
"18","ovary",0,0,"fibula"
"19","pancreas",0,0,"fibula"
"20","pelvis",0,0,"fibula"
"21","peritoneal_surfaces",0,0,"fibula"
"22","peritoneum",0,0,"fibula"
"23","pleura",0,0,"fibula"
"24","pleura/pleural_effusion",0,0,"fibula"
"25","posterior_peritoneum",0,0,"fibula"
"26","skeleton",1,0.333333333333333,"fibula"
"27","skin",0,0,"fibula"
"28","small_intestine",0,0,"fibula"
"29","soft_tissue",0,0,"fibula"
"30","spinal_cord",0,0,"fibula"
"31","spleen",0,0,"fibula"
"32","subcutaneous",0,0,"fibula"
"33","subcutanious_soft_tissue",0,0,"fibula"
"34","viscera",0,0,"fibula"
