"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"humerus"
"2","bone",0,0,"humerus"
"3","brain",0,0,"humerus"
"4","breast",0,0,"humerus"
"5","caudaequina",0,0,"humerus"
"6","chest_wall",0,0,"humerus"
"7","colorectum",0,0,"humerus"
"8","fat",0,0,"humerus"
"9","head_&_neck",0,0,"humerus"
"10","kidney",0,0,"humerus"
"11","liver",0,0,"humerus"
"12","lung",4,0.8,"humerus"
"13","lymph_node",0,0,"humerus"
"14","muscle",0,0,"humerus"
"15","non-regional_/_distant_lymph_nodes",0,0,"humerus"
"16","omentum",0,0,"humerus"
"17","other",0,0,"humerus"
"18","ovary",0,0,"humerus"
"19","pancreas",0,0,"humerus"
"20","pelvis",0,0,"humerus"
"21","peritoneal_surfaces",0,0,"humerus"
"22","peritoneum",0,0,"humerus"
"23","pleura",0,0,"humerus"
"24","pleura/pleural_effusion",0,0,"humerus"
"25","posterior_peritoneum",0,0,"humerus"
"26","skeleton",0,0,"humerus"
"27","skin",0,0,"humerus"
"28","small_intestine",0,0,"humerus"
"29","soft_tissue",1,0.2,"humerus"
"30","spinal_cord",0,0,"humerus"
"31","spleen",0,0,"humerus"
"32","subcutaneous",0,0,"humerus"
"33","subcutanious_soft_tissue",0,0,"humerus"
"34","viscera",0,0,"humerus"
