"","Matastatic_Site","Freq","Weight"
"1","adrenal_gland",0,0
"2","bone",17,0.0688259109311741
"3","brain",0,0
"4","breast",0,0
"5","caudaequina",0,0
"6","chest_wall",29,0.117408906882591
"7","colorectum",0,0
"8","fat",0,0
"9","head_&_neck",0,0
"10","kidney",0,0
"11","liver",16,0.0647773279352227
"12","lung",176,0.712550607287449
"13","lymph_node",4,0.0161943319838057
"14","muscle",0,0
"15","non-regional_/_distant_lymph_nodes",0,0
"16","omentum",0,0
"17","other",0,0
"18","ovary",0,0
"19","pancreas",0,0
"20","pelvis",0,0
"21","peritoneal_surfaces",0,0
"22","peritoneum",4,0.0161943319838057
"23","pleura",0,0
"24","pleura/pleural_effusion",0,0
"25","posterior_peritoneum",0,0
"26","skeleton",0,0
"27","skin",1,0.00404858299595142
"28","small_intestine",0,0
"29","soft_tissue",0,0
"30","spinal_cord",0,0
"31","spleen",0,0
"32","subcutaneous",0,0
"33","subcutanious_soft_tissue",0,0
"34","viscera",0,0
