"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",54,0.142105263157895,"liver"
"2","bone",72,0.189473684210526,"liver"
"3","brain",0,0,"liver"
"4","breast",0,0,"liver"
"5","caudaequina",0,0,"liver"
"6","chest_wall",0,0,"liver"
"7","colorectum",0,0,"liver"
"8","fat",0,0,"liver"
"9","head_&_neck",0,0,"liver"
"10","kidney",0,0,"liver"
"11","liver",12,0.0315789473684211,"liver"
"12","lung",123,0.323684210526316,"liver"
"13","lymph_node",119,0.313157894736842,"liver"
"14","muscle",0,0,"liver"
"15","non-regional_/_distant_lymph_nodes",0,0,"liver"
"16","omentum",0,0,"liver"
"17","other",0,0,"liver"
"18","ovary",0,0,"liver"
"19","pancreas",0,0,"liver"
"20","pelvis",0,0,"liver"
"21","peritoneal_surfaces",0,0,"liver"
"22","peritoneum",0,0,"liver"
"23","pleura",0,0,"liver"
"24","pleura/pleural_effusion",0,0,"liver"
"25","posterior_peritoneum",0,0,"liver"
"26","skeleton",0,0,"liver"
"27","skin",0,0,"liver"
"28","small_intestine",0,0,"liver"
"29","soft_tissue",0,0,"liver"
"30","spinal_cord",0,0,"liver"
"31","spleen",0,0,"liver"
"32","subcutaneous",0,0,"liver"
"33","subcutanious_soft_tissue",0,0,"liver"
"34","viscera",0,0,"liver"
