"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"mandible"
"2","bone",0,0,"mandible"
"3","brain",0,0,"mandible"
"4","breast",0,0,"mandible"
"5","caudaequina",0,0,"mandible"
"6","chest_wall",0,0,"mandible"
"7","colorectum",0,0,"mandible"
"8","fat",0,0,"mandible"
"9","head_&_neck",0,0,"mandible"
"10","kidney",0,0,"mandible"
"11","liver",0,0,"mandible"
"12","lung",0,0,"mandible"
"13","lymph_node",2,1,"mandible"
"14","muscle",0,0,"mandible"
"15","non-regional_/_distant_lymph_nodes",0,0,"mandible"
"16","omentum",0,0,"mandible"
"17","other",0,0,"mandible"
"18","ovary",0,0,"mandible"
"19","pancreas",0,0,"mandible"
"20","pelvis",0,0,"mandible"
"21","peritoneal_surfaces",0,0,"mandible"
"22","peritoneum",0,0,"mandible"
"23","pleura",0,0,"mandible"
"24","pleura/pleural_effusion",0,0,"mandible"
"25","posterior_peritoneum",0,0,"mandible"
"26","skeleton",0,0,"mandible"
"27","skin",0,0,"mandible"
"28","small_intestine",0,0,"mandible"
"29","soft_tissue",0,0,"mandible"
"30","spinal_cord",0,0,"mandible"
"31","spleen",0,0,"mandible"
"32","subcutaneous",0,0,"mandible"
"33","subcutanious_soft_tissue",0,0,"mandible"
"34","viscera",0,0,"mandible"
