"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"midgut"
"2","bone",0,0,"midgut"
"3","brain",0,0,"midgut"
"4","breast",0,0,"midgut"
"5","caudaequina",0,0,"midgut"
"6","chest_wall",0,0,"midgut"
"7","colorectum",0,0,"midgut"
"8","fat",0,0,"midgut"
"9","head_&_neck",0,0,"midgut"
"10","kidney",0,0,"midgut"
"11","liver",12,0.129032258064516,"midgut"
"12","lung",0,0,"midgut"
"13","lymph_node",81,0.870967741935484,"midgut"
"14","muscle",0,0,"midgut"
"15","non-regional_/_distant_lymph_nodes",0,0,"midgut"
"16","omentum",0,0,"midgut"
"17","other",0,0,"midgut"
"18","ovary",0,0,"midgut"
"19","pancreas",0,0,"midgut"
"20","pelvis",0,0,"midgut"
"21","peritoneal_surfaces",0,0,"midgut"
"22","peritoneum",0,0,"midgut"
"23","pleura",0,0,"midgut"
"24","pleura/pleural_effusion",0,0,"midgut"
"25","posterior_peritoneum",0,0,"midgut"
"26","skeleton",0,0,"midgut"
"27","skin",0,0,"midgut"
"28","small_intestine",0,0,"midgut"
"29","soft_tissue",0,0,"midgut"
"30","spinal_cord",0,0,"midgut"
"31","spleen",0,0,"midgut"
"32","subcutaneous",0,0,"midgut"
"33","subcutanious_soft_tissue",0,0,"midgut"
"34","viscera",0,0,"midgut"
