"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"nasopharynx"
"2","bone",0,0,"nasopharynx"
"3","brain",0,0,"nasopharynx"
"4","breast",0,0,"nasopharynx"
"5","caudaequina",0,0,"nasopharynx"
"6","chest_wall",0,0,"nasopharynx"
"7","colorectum",0,0,"nasopharynx"
"8","fat",0,0,"nasopharynx"
"9","head_&_neck",0,0,"nasopharynx"
"10","kidney",0,0,"nasopharynx"
"11","liver",0,0,"nasopharynx"
"12","lung",0,0,"nasopharynx"
"13","lymph_node",34,1,"nasopharynx"
"14","muscle",0,0,"nasopharynx"
"15","non-regional_/_distant_lymph_nodes",0,0,"nasopharynx"
"16","omentum",0,0,"nasopharynx"
"17","other",0,0,"nasopharynx"
"18","ovary",0,0,"nasopharynx"
"19","pancreas",0,0,"nasopharynx"
"20","pelvis",0,0,"nasopharynx"
"21","peritoneal_surfaces",0,0,"nasopharynx"
"22","peritoneum",0,0,"nasopharynx"
"23","pleura",0,0,"nasopharynx"
"24","pleura/pleural_effusion",0,0,"nasopharynx"
"25","posterior_peritoneum",0,0,"nasopharynx"
"26","skeleton",0,0,"nasopharynx"
"27","skin",0,0,"nasopharynx"
"28","small_intestine",0,0,"nasopharynx"
"29","soft_tissue",0,0,"nasopharynx"
"30","spinal_cord",0,0,"nasopharynx"
"31","spleen",0,0,"nasopharynx"
"32","subcutaneous",0,0,"nasopharynx"
"33","subcutanious_soft_tissue",0,0,"nasopharynx"
"34","viscera",0,0,"nasopharynx"
