"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"oral_cavity"
"2","bone",0,0,"oral_cavity"
"3","brain",0,0,"oral_cavity"
"4","breast",0,0,"oral_cavity"
"5","caudaequina",0,0,"oral_cavity"
"6","chest_wall",0,0,"oral_cavity"
"7","colorectum",0,0,"oral_cavity"
"8","fat",0,0,"oral_cavity"
"9","head_&_neck",0,0,"oral_cavity"
"10","kidney",0,0,"oral_cavity"
"11","liver",0,0,"oral_cavity"
"12","lung",0,0,"oral_cavity"
"13","lymph_node",5,1,"oral_cavity"
"14","muscle",0,0,"oral_cavity"
"15","non-regional_/_distant_lymph_nodes",0,0,"oral_cavity"
"16","omentum",0,0,"oral_cavity"
"17","other",0,0,"oral_cavity"
"18","ovary",0,0,"oral_cavity"
"19","pancreas",0,0,"oral_cavity"
"20","pelvis",0,0,"oral_cavity"
"21","peritoneal_surfaces",0,0,"oral_cavity"
"22","peritoneum",0,0,"oral_cavity"
"23","pleura",0,0,"oral_cavity"
"24","pleura/pleural_effusion",0,0,"oral_cavity"
"25","posterior_peritoneum",0,0,"oral_cavity"
"26","skeleton",0,0,"oral_cavity"
"27","skin",0,0,"oral_cavity"
"28","small_intestine",0,0,"oral_cavity"
"29","soft_tissue",0,0,"oral_cavity"
"30","spinal_cord",0,0,"oral_cavity"
"31","spleen",0,0,"oral_cavity"
"32","subcutaneous",0,0,"oral_cavity"
"33","subcutanious_soft_tissue",0,0,"oral_cavity"
"34","viscera",0,0,"oral_cavity"
