"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"ovary"
"2","bone",0,0,"ovary"
"3","brain",0,0,"ovary"
"4","breast",0,0,"ovary"
"5","caudaequina",0,0,"ovary"
"6","chest_wall",0,0,"ovary"
"7","colorectum",0,0,"ovary"
"8","fat",0,0,"ovary"
"9","head_&_neck",0,0,"ovary"
"10","kidney",0,0,"ovary"
"11","liver",0,0,"ovary"
"12","lung",0,0,"ovary"
"13","lymph_node",0,0,"ovary"
"14","muscle",0,0,"ovary"
"15","non-regional_/_distant_lymph_nodes",0,0,"ovary"
"16","omentum",18,1,"ovary"
"17","other",0,0,"ovary"
"18","ovary",0,0,"ovary"
"19","pancreas",0,0,"ovary"
"20","pelvis",0,0,"ovary"
"21","peritoneal_surfaces",0,0,"ovary"
"22","peritoneum",0,0,"ovary"
"23","pleura",0,0,"ovary"
"24","pleura/pleural_effusion",0,0,"ovary"
"25","posterior_peritoneum",0,0,"ovary"
"26","skeleton",0,0,"ovary"
"27","skin",0,0,"ovary"
"28","small_intestine",0,0,"ovary"
"29","soft_tissue",0,0,"ovary"
"30","spinal_cord",0,0,"ovary"
"31","spleen",0,0,"ovary"
"32","subcutaneous",0,0,"ovary"
"33","subcutanious_soft_tissue",0,0,"ovary"
"34","viscera",0,0,"ovary"
