"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"penis"
"2","bone",0,0,"penis"
"3","brain",0,0,"penis"
"4","breast",0,0,"penis"
"5","caudaequina",0,0,"penis"
"6","chest_wall",0,0,"penis"
"7","colorectum",0,0,"penis"
"8","fat",0,0,"penis"
"9","head_&_neck",0,0,"penis"
"10","kidney",0,0,"penis"
"11","liver",0,0,"penis"
"12","lung",0,0,"penis"
"13","lymph_node",0,0,"penis"
"14","muscle",0,0,"penis"
"15","non-regional_/_distant_lymph_nodes",0,0,"penis"
"16","omentum",0,0,"penis"
"17","other",0,0,"penis"
"18","ovary",0,0,"penis"
"19","pancreas",0,0,"penis"
"20","pelvis",0,0,"penis"
"21","peritoneal_surfaces",0,0,"penis"
"22","peritoneum",0,0,"penis"
"23","pleura",0,0,"penis"
"24","pleura/pleural_effusion",0,0,"penis"
"25","posterior_peritoneum",0,0,"penis"
"26","skeleton",0,0,"penis"
"27","skin",0,0,"penis"
"28","small_intestine",0,0,"penis"
"29","soft_tissue",0,0,"penis"
"30","spinal_cord",0,0,"penis"
"31","spleen",0,0,"penis"
"32","subcutaneous",0,0,"penis"
"33","subcutanious_soft_tissue",0,0,"penis"
"34","viscera",21,1,"penis"
