"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",36,0.0268456375838926,"prostate"
"2","bone",216,0.161073825503356,"prostate"
"3","brain",0,0,"prostate"
"4","breast",0,0,"prostate"
"5","caudaequina",0,0,"prostate"
"6","chest_wall",0,0,"prostate"
"7","colorectum",0,0,"prostate"
"8","fat",0,0,"prostate"
"9","head_&_neck",0,0,"prostate"
"10","kidney",14,0.0104399701715138,"prostate"
"11","liver",211,0.157345264727815,"prostate"
"12","lung",166,0.123788217747949,"prostate"
"13","lymph_node",636,0.47427293064877,"prostate"
"14","muscle",0,0,"prostate"
"15","non-regional_/_distant_lymph_nodes",1,0.000745712155108128,"prostate"
"16","omentum",0,0,"prostate"
"17","other",0,0,"prostate"
"18","ovary",0,0,"prostate"
"19","pancreas",0,0,"prostate"
"20","pelvis",0,0,"prostate"
"21","peritoneal_surfaces",0,0,"prostate"
"22","peritoneum",29,0.0216256524981357,"prostate"
"23","pleura",0,0,"prostate"
"24","pleura/pleural_effusion",0,0,"prostate"
"25","posterior_peritoneum",32,0.0238627889634601,"prostate"
"26","skeleton",0,0,"prostate"
"27","skin",0,0,"prostate"
"28","small_intestine",0,0,"prostate"
"29","soft_tissue",0,0,"prostate"
"30","spinal_cord",0,0,"prostate"
"31","spleen",0,0,"prostate"
"32","subcutaneous",0,0,"prostate"
"33","subcutanious_soft_tissue",0,0,"prostate"
"34","viscera",0,0,"prostate"
