"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"small_intestine"
"2","bone",0,0,"small_intestine"
"3","brain",0,0,"small_intestine"
"4","breast",0,0,"small_intestine"
"5","caudaequina",0,0,"small_intestine"
"6","chest_wall",0,0,"small_intestine"
"7","colorectum",0,0,"small_intestine"
"8","fat",0,0,"small_intestine"
"9","head_&_neck",0,0,"small_intestine"
"10","kidney",0,0,"small_intestine"
"11","liver",47,0.203463203463203,"small_intestine"
"12","lung",0,0,"small_intestine"
"13","lymph_node",184,0.796536796536797,"small_intestine"
"14","muscle",0,0,"small_intestine"
"15","non-regional_/_distant_lymph_nodes",0,0,"small_intestine"
"16","omentum",0,0,"small_intestine"
"17","other",0,0,"small_intestine"
"18","ovary",0,0,"small_intestine"
"19","pancreas",0,0,"small_intestine"
"20","pelvis",0,0,"small_intestine"
"21","peritoneal_surfaces",0,0,"small_intestine"
"22","peritoneum",0,0,"small_intestine"
"23","pleura",0,0,"small_intestine"
"24","pleura/pleural_effusion",0,0,"small_intestine"
"25","posterior_peritoneum",0,0,"small_intestine"
"26","skeleton",0,0,"small_intestine"
"27","skin",0,0,"small_intestine"
"28","small_intestine",0,0,"small_intestine"
"29","soft_tissue",0,0,"small_intestine"
"30","spinal_cord",0,0,"small_intestine"
"31","spleen",0,0,"small_intestine"
"32","subcutaneous",0,0,"small_intestine"
"33","subcutanious_soft_tissue",0,0,"small_intestine"
"34","viscera",0,0,"small_intestine"
