"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"stomach"
"2","bone",0,0,"stomach"
"3","brain",0,0,"stomach"
"4","breast",0,0,"stomach"
"5","caudaequina",0,0,"stomach"
"6","chest_wall",0,0,"stomach"
"7","colorectum",0,0,"stomach"
"8","fat",0,0,"stomach"
"9","head_&_neck",0,0,"stomach"
"10","kidney",0,0,"stomach"
"11","liver",24,0.558139534883721,"stomach"
"12","lung",8,0.186046511627907,"stomach"
"13","lymph_node",0,0,"stomach"
"14","muscle",0,0,"stomach"
"15","non-regional_/_distant_lymph_nodes",1,0.0232558139534884,"stomach"
"16","omentum",0,0,"stomach"
"17","other",6,0.13953488372093,"stomach"
"18","ovary",0,0,"stomach"
"19","pancreas",0,0,"stomach"
"20","pelvis",0,0,"stomach"
"21","peritoneal_surfaces",4,0.0930232558139535,"stomach"
"22","peritoneum",0,0,"stomach"
"23","pleura",0,0,"stomach"
"24","pleura/pleural_effusion",0,0,"stomach"
"25","posterior_peritoneum",0,0,"stomach"
"26","skeleton",0,0,"stomach"
"27","skin",0,0,"stomach"
"28","small_intestine",0,0,"stomach"
"29","soft_tissue",0,0,"stomach"
"30","spinal_cord",0,0,"stomach"
"31","spleen",0,0,"stomach"
"32","subcutaneous",0,0,"stomach"
"33","subcutanious_soft_tissue",0,0,"stomach"
"34","viscera",0,0,"stomach"
