"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"testis"
"2","bone",0,0,"testis"
"3","brain",0,0,"testis"
"4","breast",0,0,"testis"
"5","caudaequina",0,0,"testis"
"6","chest_wall",0,0,"testis"
"7","colorectum",0,0,"testis"
"8","fat",0,0,"testis"
"9","head_&_neck",0,0,"testis"
"10","kidney",0,0,"testis"
"11","liver",0,0,"testis"
"12","lung",2,0.285714285714286,"testis"
"13","lymph_node",5,0.714285714285714,"testis"
"14","muscle",0,0,"testis"
"15","non-regional_/_distant_lymph_nodes",0,0,"testis"
"16","omentum",0,0,"testis"
"17","other",0,0,"testis"
"18","ovary",0,0,"testis"
"19","pancreas",0,0,"testis"
"20","pelvis",0,0,"testis"
"21","peritoneal_surfaces",0,0,"testis"
"22","peritoneum",0,0,"testis"
"23","pleura",0,0,"testis"
"24","pleura/pleural_effusion",0,0,"testis"
"25","posterior_peritoneum",0,0,"testis"
"26","skeleton",0,0,"testis"
"27","skin",0,0,"testis"
"28","small_intestine",0,0,"testis"
"29","soft_tissue",0,0,"testis"
"30","spinal_cord",0,0,"testis"
"31","spleen",0,0,"testis"
"32","subcutaneous",0,0,"testis"
"33","subcutanious_soft_tissue",0,0,"testis"
"34","viscera",0,0,"testis"
