"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"thymus"
"2","bone",0,0,"thymus"
"3","brain",0,0,"thymus"
"4","breast",0,0,"thymus"
"5","caudaequina",0,0,"thymus"
"6","chest_wall",0,0,"thymus"
"7","colorectum",0,0,"thymus"
"8","fat",0,0,"thymus"
"9","head_&_neck",0,0,"thymus"
"10","kidney",0,0,"thymus"
"11","liver",0,0,"thymus"
"12","lung",0,0,"thymus"
"13","lymph_node",0,0,"thymus"
"14","muscle",0,0,"thymus"
"15","non-regional_/_distant_lymph_nodes",0,0,"thymus"
"16","omentum",0,0,"thymus"
"17","other",0,0,"thymus"
"18","ovary",0,0,"thymus"
"19","pancreas",0,0,"thymus"
"20","pelvis",0,0,"thymus"
"21","peritoneal_surfaces",0,0,"thymus"
"22","peritoneum",0,0,"thymus"
"23","pleura",0,0,"thymus"
"24","pleura/pleural_effusion",1,1,"thymus"
"25","posterior_peritoneum",0,0,"thymus"
"26","skeleton",0,0,"thymus"
"27","skin",0,0,"thymus"
"28","small_intestine",0,0,"thymus"
"29","soft_tissue",0,0,"thymus"
"30","spinal_cord",0,0,"thymus"
"31","spleen",0,0,"thymus"
"32","subcutaneous",0,0,"thymus"
"33","subcutanious_soft_tissue",0,0,"thymus"
"34","viscera",0,0,"thymus"
