"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"thyroid"
"2","bone",0,0,"thyroid"
"3","brain",0,0,"thyroid"
"4","breast",0,0,"thyroid"
"5","caudaequina",0,0,"thyroid"
"6","chest_wall",0,0,"thyroid"
"7","colorectum",0,0,"thyroid"
"8","fat",0,0,"thyroid"
"9","head_&_neck",0,0,"thyroid"
"10","kidney",0,0,"thyroid"
"11","liver",0,0,"thyroid"
"12","lung",8,0.0373831775700935,"thyroid"
"13","lymph_node",204,0.953271028037383,"thyroid"
"14","muscle",0,0,"thyroid"
"15","non-regional_/_distant_lymph_nodes",0,0,"thyroid"
"16","omentum",0,0,"thyroid"
"17","other",0,0,"thyroid"
"18","ovary",0,0,"thyroid"
"19","pancreas",0,0,"thyroid"
"20","pelvis",0,0,"thyroid"
"21","peritoneal_surfaces",0,0,"thyroid"
"22","peritoneum",0,0,"thyroid"
"23","pleura",2,0.00934579439252336,"thyroid"
"24","pleura/pleural_effusion",0,0,"thyroid"
"25","posterior_peritoneum",0,0,"thyroid"
"26","skeleton",0,0,"thyroid"
"27","skin",0,0,"thyroid"
"28","small_intestine",0,0,"thyroid"
"29","soft_tissue",0,0,"thyroid"
"30","spinal_cord",0,0,"thyroid"
"31","spleen",0,0,"thyroid"
"32","subcutaneous",0,0,"thyroid"
"33","subcutanious_soft_tissue",0,0,"thyroid"
"34","viscera",0,0,"thyroid"
