"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"tibia"
"2","bone",0,0,"tibia"
"3","brain",0,0,"tibia"
"4","breast",0,0,"tibia"
"5","caudaequina",0,0,"tibia"
"6","chest_wall",0,0,"tibia"
"7","colorectum",0,0,"tibia"
"8","fat",0,0,"tibia"
"9","head_&_neck",0,0,"tibia"
"10","kidney",0,0,"tibia"
"11","liver",0,0,"tibia"
"12","lung",2,1,"tibia"
"13","lymph_node",0,0,"tibia"
"14","muscle",0,0,"tibia"
"15","non-regional_/_distant_lymph_nodes",0,0,"tibia"
"16","omentum",0,0,"tibia"
"17","other",0,0,"tibia"
"18","ovary",0,0,"tibia"
"19","pancreas",0,0,"tibia"
"20","pelvis",0,0,"tibia"
"21","peritoneal_surfaces",0,0,"tibia"
"22","peritoneum",0,0,"tibia"
"23","pleura",0,0,"tibia"
"24","pleura/pleural_effusion",0,0,"tibia"
"25","posterior_peritoneum",0,0,"tibia"
"26","skeleton",0,0,"tibia"
"27","skin",0,0,"tibia"
"28","small_intestine",0,0,"tibia"
"29","soft_tissue",0,0,"tibia"
"30","spinal_cord",0,0,"tibia"
"31","spleen",0,0,"tibia"
"32","subcutaneous",0,0,"tibia"
"33","subcutanious_soft_tissue",0,0,"tibia"
"34","viscera",0,0,"tibia"
