"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"tongue"
"2","bone",0,0,"tongue"
"3","brain",0,0,"tongue"
"4","breast",0,0,"tongue"
"5","caudaequina",0,0,"tongue"
"6","chest_wall",0,0,"tongue"
"7","colorectum",0,0,"tongue"
"8","fat",0,0,"tongue"
"9","head_&_neck",0,0,"tongue"
"10","kidney",0,0,"tongue"
"11","liver",0,0,"tongue"
"12","lung",0,0,"tongue"
"13","lymph_node",28,1,"tongue"
"14","muscle",0,0,"tongue"
"15","non-regional_/_distant_lymph_nodes",0,0,"tongue"
"16","omentum",0,0,"tongue"
"17","other",0,0,"tongue"
"18","ovary",0,0,"tongue"
"19","pancreas",0,0,"tongue"
"20","pelvis",0,0,"tongue"
"21","peritoneal_surfaces",0,0,"tongue"
"22","peritoneum",0,0,"tongue"
"23","pleura",0,0,"tongue"
"24","pleura/pleural_effusion",0,0,"tongue"
"25","posterior_peritoneum",0,0,"tongue"
"26","skeleton",0,0,"tongue"
"27","skin",0,0,"tongue"
"28","small_intestine",0,0,"tongue"
"29","soft_tissue",0,0,"tongue"
"30","spinal_cord",0,0,"tongue"
"31","spleen",0,0,"tongue"
"32","subcutaneous",0,0,"tongue"
"33","subcutanious_soft_tissue",0,0,"tongue"
"34","viscera",0,0,"tongue"
