"","Matastatic_Site","Freq","Weight","Primary_site"
"1","adrenal_gland",0,0,"uterus"
"2","bone",6,0.375,"uterus"
"3","brain",0,0,"uterus"
"4","breast",0,0,"uterus"
"5","caudaequina",0,0,"uterus"
"6","chest_wall",0,0,"uterus"
"7","colorectum",0,0,"uterus"
"8","fat",0,0,"uterus"
"9","head_&_neck",0,0,"uterus"
"10","kidney",0,0,"uterus"
"11","liver",1,0.0625,"uterus"
"12","lung",6,0.375,"uterus"
"13","lymph_node",1,0.0625,"uterus"
"14","muscle",0,0,"uterus"
"15","non-regional_/_distant_lymph_nodes",0,0,"uterus"
"16","omentum",0,0,"uterus"
"17","other",1,0.0625,"uterus"
"18","ovary",0,0,"uterus"
"19","pancreas",0,0,"uterus"
"20","pelvis",1,0.0625,"uterus"
"21","peritoneal_surfaces",0,0,"uterus"
"22","peritoneum",0,0,"uterus"
"23","pleura",0,0,"uterus"
"24","pleura/pleural_effusion",0,0,"uterus"
"25","posterior_peritoneum",0,0,"uterus"
"26","skeleton",0,0,"uterus"
"27","skin",0,0,"uterus"
"28","small_intestine",0,0,"uterus"
"29","soft_tissue",0,0,"uterus"
"30","spinal_cord",0,0,"uterus"
"31","spleen",0,0,"uterus"
"32","subcutaneous",0,0,"uterus"
"33","subcutanious_soft_tissue",0,0,"uterus"
"34","viscera",0,0,"uterus"
