"","primary_site","total_samples","probability","ob_same","P_value","CI_lower","CI_upper"
"1","breast",2058,0.0728862973760933,150,NA,NA,NA
"2","colorectum",1426,0.00210378681626928,3,NA,NA,NA
"3","skin",764,0.0693717277486911,53,NA,NA,NA
"4","lung",14,0,0,NA,NA,NA
"5","pancreas",610,0.114754098360656,70,NA,NA,NA
"6","kidney",247,0,0,NA,NA,NA
"7","oral_cavity",5,0,0,NA,NA,NA
"8","tongue",28,0,0,NA,NA,NA
"9","mandible",2,0,0,NA,NA,NA
"10","FOM",8,0,0,NA,NA,NA
"11","prostate",1341,0,0,NA,NA,NA
"12","midgut",93,0,0,NA,NA,NA
"13","liver",380,0.0315789473684211,12,NA,NA,NA
"14","ovary",18,0,0,NA,NA,NA
"15","nasopharynx",34,0,0,NA,NA,NA
"16","femur",16,0,0,NA,NA,NA
"17","humerus",5,0,0,NA,NA,NA
"18","fibula",3,0,0,NA,NA,NA
"19","tibia",2,0,0,NA,NA,NA
"20","costa",2,0,0,NA,NA,NA
"21","pelvis",2,0,0,NA,NA,NA
"22","stomach",43,0,0,NA,NA,NA
"23","testis",7,0,0,NA,NA,NA
"24","thyroid",214,0,0,NA,NA,NA
"25","brain",22,1,22,NA,NA,NA
"26","small_intestine",231,0,0,NA,NA,NA
"27","cervix",46,0,0,NA,NA,NA
"28","penis",21,0,0,NA,NA,NA
"29","adrenal_gland",37,0,0,NA,NA,NA
"30","bladder",139,0,0,NA,NA,NA
"31","esophagus",96,0,0,NA,NA,NA
"32","thymus",1,0,0,NA,NA,NA
"33","uterus",16,0,0,NA,NA,NA
"34","eye",12,0,0,NA,NA,NA
